"","x"
"PURPLE",75.5
"KinShanZim",103.5
"N32",95.7
"Dular",101
"HashikalmiAus",77.3
"KataktaraAus",117.55
"Bala",76.8
"Angkrang",117.4
"SravPrapay",108.6
"WAB450IBP62HB",80.9
"PanJu",120.45
"DhalaShaitta",121.15
"EarlyNo1",138.85
"SelNo388",117.55
"SHIMIZUMOCHI",84.55
"Charmarumi",106.45
"Dharial",104.5
"ARC6578",127.5
"TiaHeret",112.4
"Pelu",117.85
"Sufaida",116.65
"Mahlar",103.9
"P22",99.8
"Ziri",122.65
"Sathra",86.6
"AiChuehTaPaiKu",106.2
"Sigoendaba",125.7
"Sabharaj",97.45
"ASWINA330",106.8
"DNJ151",114.7
"TrandeupKandir",102.5
"Banajira",104.2
"Brondol",103.7
"DJ90",101.9
"DJ102",117.2
"DV132",139.5
"Bengawan",66
"Sug",94.8
"Ghorbhai",115
"AkTokhum",117
"Jefferson",67.9
"Caucasica",94.95
"ARPASHALI",74.75
"Kabre",128.4
"Boma",126.9
"IRGC103571",142.1
"WAB4501113P40HB",96.55
"WAB4502423P33HB",101
"WAB450243P381HB",57.65
"Kharsu",129.3
"LongGnarJim",103.05
"CenturyPatnaOriginal",106.25
"SpinMere",131.65
"SecanodoBrazil",119
"Sigadis",95.45
"RedKhoshaCerma",122.6
"GHRAIBA",113.2
"KhaoPhoi",105.15
"Karayal",111.75
"PURPLERep",75.5
"C8447",123.35
"PadiPohonBatu",114.1
"Ratna",77.8
"Jhona",121.1
"HeoTrang",136.15
"Sipirasikkam",122
"Lantjang",118.9
"AliCombo",150.35
"Torh",109.35
"Sugdasi",118.1
"JiraShahi",124.8
"KerrSail",135.6
"AS46",90.35
"Janeri",124.95
"KuningTinggi",84.95
"KoiMurali",106.5
"DJ53",132.6
"DM55",117.75
"DV85",117.4
"DaudzaiFieldMix",128.15
"M202",70.35
"BakTushi",122.7
"Gambir",129.7
"Shoni",123.9
"FIROOZ",147.4
"ShevkatiKundry",114.3
"UzRosz17",58.6
"UZROSZ269",82.1
"UzRosz2832",67.16
"Vrosz213",70.4
"UZROSZM8",86
"UzRoszM9",83.25
"Nahodka",63.35
"VILKIDZIRE",79.55
"KUBAN3",67.1
"UzRos275",85.25
"SADRIMASALINSKIJ",94.7
"AmbarbyWhite",95.5
"BesudiShortGrain",94.45
"DeraWadi143",115.45
"Cat1747",108.4
"P817",133.7
"VulgarisKoChAzpasaly",112.3
"UZROS59",111.8
"ItalicaAlefAmbesteRoyj",115.2
"P1042",149.3
"P1048",95.6
"HZROS637",65.5
"Kasakstanica",80.2
"Vavilovi",67.25
"Nigrescens",63.75
"Melanotrix",65.8
"AkTohum",125.8
"Dicolorata",120.4
"AzRos1646",99.7
"BakSalyMestnyj",103.35
"DONSKOJ2",61.25
"DvRos0219",69.31
"DvRos2568",96.87
"AliComboRep",150.35
"KasakiShalaMestnyj",65.33
"Kesa",93.45
"Severnyj",56.85
"UZBEKSKIJ2",86.7
"UzRos421",123.3
"Pioner320",77.3
"Krasnodarski",79.55
"LUKTAKHAR",112.35
"WIR623",111.4
"WIR1528",64.39
"HiMuke",121.85
"WIR2623",69.2
"Celiaj",90
"UZROS2759",105.45
"KROS358",115.2
"NF1",44.9
"NF9",32.9
"SPALCIK",50.65
"INTENSIVNYJ",91.3
"ZEMCYZNYJ",57.75
"WIR3419",103.55
"Shala",123.15
"Styk",100.15
"Bankoram",111.35
"Sanganyan",110.6
"TOg5548",77.65
"Presidio",64.9
"Quinimpol",119.1
"CreoleBred",110.15
"KerangSerang",118.1
"KarangSerang",117.9
"CriolloChivacoa2",111.65
"Juppa",142.2
"Peta",126.5
"PATNAI23",109.2
"Hassawi",57.85
"Samanis",99.65
"AshKataAus",126.6
"ARC10638",130.45
"ARC11611",139.1
"Basmati",131.5
"Achhame",144.5
"GendjahBanten",142
"WW82290",123
"VARYLAVA9",118.25
"VaryVato275",129.9
"BengalyMorino120",125
"Jayanthi",98.55
"Mushkan",102.5
"Akabona",92.15
"Aus8",104.5
"Ngoba",89.65
"IR64A",71.9
"Dudhel",149.55
"BesudiLongGrain",137.6
"Qumanani",119.75
"P807",133.15
"P1041",107.7
"P1049",101.35
"Azerbaidjanica",65.53
"WAB450IBP23HB",86.5
"Pokkali",122.9
"Simpor",112
"PutihMontor",92.9
"Pakkali",121.7
"Kirak",79.6
"Latisail",95.4
"PadiKasalle",119.05
"CHAHORA144",128.15
